link,product_name,product_nm,marketplace,province,itemId,shopId,star_review,original_price,discount_price,amount_sold,per_discount,check_percent
www.lazada.co.th/products/6-20-1085-2566-i5081043336.html,"ข้าวเหนียว กข6 บรรจุ 20 กิโลกรัม รวมส่ง 1,085 บาท ข้าวสารพื้นบ้าน ชาวนา ร้อยเอ็ด ข้าวปลายปี 2566",ข้าวเหนียวพันธุ์_กข6,lazada,ร้อยเอ็ด,5081043336,2461186,4.8,1085,1045,79,4,227.85
www.lazada.co.th/products/6-100-1-kg-6-100-i2635249427.html,ข้าวฮางเหนียว กข6 แท้100% ขนาด 1 Kg. แพ็คสุญญากาศ ทำจากข้าวเหนียว กข6 แท้ 100% น้ำตาลต่ำ หุงได้ นึ่งได้,ข้าวเหนียวพันธุ์_กข6,lazada,มหาสารคาม,2635249427,2062146,5.0,0,125,659,0,0
www.lazada.co.th/products/6-2566-1-25-1350-i2764222306.html,"ข้าวเหนียว กข6 ข้าวใหม่นาปี 2566 ร้อยเอ็ด 1 กระสอบ บรรจุ 25 กิโลกรัม รวมจัดส่ง 1,350 บาท *ข้าวสารพื้นบ้านชาวนาสีเอง",ข้าวเหนียวพันธุ์_กข6,lazada,ร้อยเอ็ด,2764222306,2461186,4.9,1350,1299,312,4,-2862
www.lazada.co.th/products/6-2566-25-1350-i4255010988.html,"ข้าวเหนียว กข6 ข้าวใหม่ปี 2566 ข้าวสารพื้นบ้าน สินค้าชาวนาร้อยเอ็ด บรรจุ 25 กิโลกรัม ร่วมส่ง 1,350 บาท ข้าวสารพื้นบ้านชาวนาสีเอง",ข้าวเหนียวพันธุ์_กข6,lazada,ร้อยเอ็ด,4255010988,2461186,4.9,1350,1299,206,4,-1431
www.lazada.co.th/products/6-i4984877733.html,ข้าวเหนียว กข6 ใหม่ หอม นุ่ม,ข้าวเหนียวพันธุ์_กข6,lazada,ขอนแก่น,4984877733,2813578,5.0,35,34,25,3,26.25
www.lazada.co.th/products/6-1-66-i3136325011.html,ข้าวเหนียว กข6 ขนาด 1 กิโลกรัม ข้าวใหม่ เกี่ยว พ.ย - ธ.ค 66 แพ็คถุงสูญญากาศ อร่อย หอมฟุ้ง เหนียวนุ่ม จากชาวนามุกดาหาร,ข้าวเหนียวพันธุ์_กข6,lazada,มุกดาหาร,3136325011,2670367,5.0,0,45,158,0,0
www.lazada.co.th/products/6-a-i5276365261.html,ข้าวเหนียวเขี้ยวงูคัดพิเศษ ข้าวเหนียวกข6 เกรดA นุ่มนวล,ข้าวเหนียวพันธุ์_กข6,lazada,นนทบุรี,5276365261,4774455,5.0,45,27,30,40,31.5
www.lazada.co.th/products/6-1-i3865995291.html,ข้าวเหนียว ข้าวเหนียวอ่อน กข6 ตราดอกฝ้าย สะอาด อร่อย หอมนุ่มนวล แบ่ง1กิโลกรัม,ข้าวเหนียวพันธุ์_กข6,lazada,สกลนคร,3865995291,2083086,0.0,40,30,0,25,40
www.lazada.co.th/products/6-2566-10-550-i3113549090.html,ข้าวเหนียว กข6 ข้าวเหนียวใหม่ ข้าวนาปี 2566 ชาวนาร้อยเอ็ด บรรจุ 10 กิโลกรัม ราคาเพียง 550 บาท ข้าวสารพื้นบ้านชาวนาสีเอง ไม่รวมค่าจัดส่ง,ข้าวเหนียวพันธุ์_กข6,lazada,ร้อยเอ็ด,3113549090,2461186,4.9,550,490,602,11,-2761
www.lazada.co.th/products/6-1-i2538410918.html,ข้าวฮางจากข้าวเหนียว กข.6 ข้าวสารเหนียว  สะอาดปลอดภัย  น้ำหนักแพ็คละ 1 กก.,ข้าวเหนียวพันธุ์_กข6,lazada,นครพนม,2538410918,1639437,4.8,0,100,43,0,0
